Kabupaten/Kota,Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Berlaku (Rp)
Pacitan,19490.5
Ponorogo,25247.78
Trenggalek,22740.05
Tulungagung,47964.44
Blitar,44891.73
Kediri,50638.15
Malang,128373.22
Lumajang,40072.78
Jember,95289.79
Banyuwangi,101296.62
Bondowoso,24773.36
Situbondo,25224.98
Probolinggo,42376.92
Pasuruan,186946.17
Sidoarjo,273698.07
Mojokerto,104364.24
Jombang,49984.48
Nganjuk,33646.95
Madiun,23833.01
Magetan,22922.28
Ngawi,24324.65
Bojonegoro,97971.82
Tuban,81860.06
Lamongan,48927.3
Gresik,176261
Bangkalan,27740.03
Sampang,24086.65
Pamekasan,20881.25
Sumenep,42966.59
Kota Kediri,159736.72
Kota Blitar,8515.16
Kota Malang,93053.43
Kota Probolinggo,14296.47
Kota Pasuruan,10399.89
Kota Mojokerto,8038.66
Kota Madiun,17256.23
Kota Surabaya,715294.71
Kota Batu,20525.42
,
Catatan,
Perbedaan,
antara jumlah PDRB 34 Provinsi dan PDB Indonesia antara lain disebabkan oleh,
diskrepansi statistik.,
