Kabupaten/Kota,Indeks Pembangunan Manusia
Pacitan,72.26
Ponorogo,74.65
Trenggalek,73.39
Tulungagung,75.88
Blitar,74.43
Kediri,76.09
Malang,74.45
Lumajang,71.02
Jember,71.57
Banyuwangi,75.17
Bondowoso,71.72
Situbondo,71.87
Probolinggo,71.65
Pasuruan,73.02
Sidoarjo,83.35
Mojokerto,77.46
Jombang,76.37
Nganjuk,75.89
Madiun,75.47
Magetan,77.58
Ngawi,74.43
Bojonegoro,73.74
Tuban,73.15
Lamongan,76.81
Gresik,79.69
Bangkalan,68.15
Sampang,67.23
Pamekasan,71.64
Sumenep,70.54
Kota Kediri,82.71
Kota Blitar,82.03
Kota Malang,85.55
Kota Probolinggo,78.5
Kota Pasuruan,79.52
Kota Mojokerto,82.35
Kota Madiun,85.12
Kota Surabaya,85.65
Kota Batu,80.35
Jawa Timur,76.13
